To, Location
clock_50,PIN_M9
reset,PIN_AA15
add_one,PIN_AB15
add_five,PIN_AA14
choose_soda,PIN_AA13
choose_chips,PIN_AB13
get_change,PIN_AB12
ready2vend,PIN_AA2
ready4money,PIN_AA1
too_much,PIN_W2
error,PIN_N2
decimal,PIN_Y3
HEX5[6],PIN_W19
HEX5[5],PIN_C2
HEX5[4],PIN_C1
HEX5[3],PIN_P14
HEX5[2],PIN_T14
HEX5[1],PIN_M8
HEX5[0],PIN_N9
HEX4[6],PIN_P9
HEX4[5],PIN_Y15
HEX4[4],PIN_U15
HEX4[3],PIN_U16
HEX4[2],PIN_V20
HEX4[1],PIN_Y20
HEX4[0],PIN_U20
HEX3[6],PIN_V19
HEX3[5],PIN_V18
HEX3[4],PIN_U17
HEX3[3],PIN_V16
HEX3[2],PIN_Y17
HEX3[1],PIN_W16
HEX3[0],PIN_Y16
HEX2[6],PIN_AB21
HEX2[5],PIN_AB22
HEX2[4],PIN_V14
HEX2[3],PIN_Y14
HEX2[2],PIN_AA10
HEX2[1],PIN_AB17
HEX2[0],PIN_Y19
HEX1[6],PIN_U22
HEX1[5],PIN_AA17
HEX1[4],PIN_AB18
HEX1[3],PIN_AA18
HEX1[2],PIN_AA19
HEX1[1],PIN_AB20
HEX1[0],PIN_AA20
HEX0[6],PIN_AA22
HEX0[5],PIN_Y21
HEX0[4],PIN_Y22
HEX0[3],PIN_W21
HEX0[2],PIN_W22
HEX0[1],PIN_V21
HEX0[0],PIN_U21
